theme_id,level,theme,hint,active
AW01,A1,Animals,,1
AW02,A1,Food and drink,,1
AW03,A1,Colours and clothes,,1
AW04,A1,Jobs,,1
AW05,A1,Things in a house,,1
AW06,A1,Family words,,1
AW07,A1,Things in a classroom,,1
AW08,A1,Fruit and vegetables,,1
AW09,A1,Countries,,1
AW10,A1,Parts of the body,,1
AW11,A1,Sports and games,,1
AW12,A1,Days months and numbers,,1
AW13,A2,Things in a kitchen,not just food!,1
AW14,A2,Free-time activities,,1
AW15,A2,Places in a town,,1
AW16,A2,Ways to travel,,1
AW17,A2,Adjectives to describe a person,,1
AW18,A2,Feelings,,1
AW19,A2,Weather words,,1
AW20,A2,Things you take on holiday,,1
AW21,A2,Verbs you do every morning,,1
AW22,A2,Things you find in a bag,,1
AW23,A2,Animals that are not pets,,1
AW24,A2,Things you can buy in a supermarket,,1
AW25,B1,Things at an airport,,1
AW26,B1,The environment,,1
AW27,B1,Personality adjectives,,1
AW28,B1,Money words,,1
AW29,B1,Health and illness,,1
AW30,B1,Technology,,1
AW31,B1,Words in the news,,1
AW32,B1,Music words,,1
AW33,B1,Things you can recycle,,1
AW34,B1,Jobs people do outdoors,,1
AW35,B1,Words about travel and tourism,,1
AW36,B1,Verbs about learning,,1
AW37,B2,Words about work and business,,1
AW38,B2,Words about education,,1
AW39,B2,Strong adjectives,"no ""very"" allowed",1
AW40,B2,Words to describe a film,,1
AW41,B2,Words about relationships,,1
AW42,B2,Words about crime and justice,,1
AW43,B2,Words about science,,1
AW44,B2,Abstract nouns,things you cannot touch,1
AW45,B2,Words about the media,,1
AW46,B2,Adjectives that describe a city,,1
AW47,B2,Verbs of communication,,1
AW48,C1,Words about the economy,,1
AW49,C1,Words about art and culture,,1
AW50,C1,Academic verbs,the kind you meet in essays,1
AW51,C1,Adjectives to describe an argument,,1
AW52,C1,Words about power and influence,,1
AW53,C1,Words about identity and belonging,,1
AW54,C1,Words about risk and uncertainty,,1
AW55,C2,Nuanced words for emotion,"sad, angry and happy are banned",1
AW56,C2,Words about persuasion,,1
AW57,C2,Words that describe a writer's tone,,1
AW58,C2,Words about change over time,,1
AW59,C2,Adjectives for describing a performance,,1
AW60,Any,Things that are round,a warm-up for any level,1
