prompt,option1,option2,option3,option4,odd_one,explanation,level,theme
We arrived ______ the station 20 minutes early.,at,on,to,in,1,"We 'arrive at' a building or place like a station. ('Arrive in' is used for towns and countries.)",A2,Prepositions
She has been living in Madrid ______ 2019.,for,since,from,at,2,"'Since' marks the starting point of a period (with the present perfect). 'For' would need a length of time.",B1,Prepositions
The meeting is ______ Monday morning.,in,at,on,by,3,"We use 'on' for days and dates (on Monday, on 5th May).",A2,Prepositions
My little brother is very good ______ drawing.,in,on,for,at,4,"'Good at' is a fixed phrase — we are good at an activity.",A2,Prepositions
He walked ______ the room and sat down.,into,in,on,at,1,"'Into' shows movement to the inside of a place; 'in' only shows position.",A2,Prepositions
We are going on holiday ______ July.,on,in,at,to,2,"We use 'in' for months and years (in July, in 2020).",A2,Prepositions
I bought this present ______ you.,to,at,for,with,3,"A present 'for' someone shows who will receive it.",A2,Prepositions
I usually wake up ______ 7 o'clock.,on,in,by,at,4,"We use 'at' with clock times (at 7 o'clock, at midnight).",A2,Prepositions
The cat is hiding ______ the table.,under,on,at,to,1,"'Under' shows a position directly below something.",A2,Prepositions
My sister is afraid ______ spiders.,from,of,with,about,2,"'Afraid of' is a fixed phrase — we are afraid of something.",A2,Prepositions
We travelled ______ Paris by train last summer.,at,in,to,on,3,"We travel or go 'to' a destination.",A2,Prepositions
She is really interested ______ learning Japanese.,on,at,for,in,4,"'Interested in' is a fixed phrase.",B1,Prepositions
Please put your books ______ the shelf.,on,in,at,to,1,"'On' shows something resting on a surface like a shelf.",A2,Prepositions
The shop is open ______ 9 a.m. to 6 p.m.,since,from,at,on,2,"'From ... to ...' shows the start and end of a period (from 9 to 6).",B1,Prepositions
I will meet you ______ front of the cinema.,on,at,in,by,3,"'In front of' is a fixed phrase meaning ahead of / before something.",B1,Prepositions
He apologised ______ being late for the lesson.,of,about,to,for,4,"We 'apologise for' something we did. (We apologise 'to' a person.)",B1,Prepositions
There is a beautiful painting ______ the wall.,on,in,at,over,1,"We use 'on' for things attached to a vertical surface like a wall.",A2,Prepositions
We have known each other ______ ten years.,since,for,from,during,2,"'For' is used with a length of time (for ten years). 'Since' needs a starting point.",B1,Prepositions
The plane flew ______ the clouds.,on,at,above,to,3,"'Above' means higher than something — here, higher than the clouds.",B1,Prepositions
This book was written ______ a famous author.,from,with,of,by,4,"In the passive, 'by' introduces the person who does the action (written by an author).",B1,Prepositions
