prompt,option1,option2,option3,option4,odd_one,explanation,level,theme
I listen ______ music every evening before bed.,at,on,to,for,3,"We 'listen to' something — listen to music, listen to the teacher.",A2,Prepositions
Look ______ that beautiful rainbow in the sky!,at,to,on,for,1,"We 'look at' something to see it.",A2,Prepositions
Can you wait ______ me after the lesson?,to,at,on,for,4,"We 'wait for' someone or something.",A2,Prepositions
The bank is ______ the supermarket and the café.,behind,between,under,near,2,"'Between' is used with two things — between the supermarket and the café.",A2,Prepositions
My house is ______ to the school.,next,near,close,beside,1,"'Next to' means right beside something.",A2,Prepositions
The cat is sleeping ______ the sofa.,in,at,to,on,4,"'On' shows something resting on a surface like a sofa.",A2,Prepositions
We have English ______ Tuesday afternoon.,in,on,at,by,2,"We use 'on' for days and parts of named days (on Tuesday afternoon).",A2,Prepositions
The film starts ______ 8 o'clock.,on,in,at,by,3,"We use 'at' with clock times (at 8 o'clock).",A2,Prepositions
My grandmother was born ______ 2010.,in,on,at,by,1,"We use 'in' for years (in 2010).",A2,Prepositions
The train leaves ______ five minutes.,at,on,for,in,4,"'In' + a period means after that much time from now (in five minutes).",A2,Prepositions
Do you want to come ______ me to the shop?,to,with,at,for,2,"We go somewhere 'with' a person.",A2,Prepositions
He sleeps ______ the light on because he's scared of the dark.,by,on,with,in,3,"'With' here describes the condition — with the light on.",A2,Prepositions
Put your coat ______ — it's cold outside.,on,in,up,off,1,"'Put on' means to start wearing something.",A2,Prepositions
Take your shoes ______ before you come inside.,on,out,down,off,4,"'Take off' means to remove clothing.",A2,Prepositions
The dog jumped ______ the wall into the garden.,across,over,through,along,2,"'Over' shows movement up and across something (jump over the wall).",A2,Prepositions
"The post office is ______ the bank, on the other side of the road.",between,under,opposite,near,3,"'Opposite' means facing or across from something.",A2,Prepositions
I usually go to bed ______ 10 p.m.,at,on,in,by,1,"We use 'at' with clock times (at 10 p.m.).",A2,Prepositions
We're meeting our cousins ______ the weekend.,on,in,by,at,4,"In British English we say 'at the weekend'.",A2,Prepositions
The keys are ______ my bag somewhere.,on,in,at,to,2,"'In' shows something inside a container like a bag.",A2,Prepositions
There's a big spider ______ the ceiling!,in,at,on,over,3,"We use 'on' for something attached to a surface, even a ceiling.",A2,Prepositions
I'm thinking ______ my holidays all the time.,about,of,on,for,1,"We 'think about' something we have in mind.",A2,Prepositions
This umbrella belongs ______ Sarah.,for,with,at,to,4,"'Belong to' shows who owns something.",A2,Prepositions
We talked ______ the film after watching it.,of,about,for,on,2,"We 'talk about' a topic.",A2,Prepositions
Whether we go to the beach depends ______ the weather.,in,of,on,at,3,"'Depend on' is a fixed phrase.",A2,Prepositions
The plane arrived ______ Madrid two hours late.,in,at,to,on,1,"We 'arrive in' a city or country (but 'arrive at' a building or place).",A2,Prepositions
